Age,In Squad,Appearances,Goals,Assists,Yellow Cards,Second Yellows,Straight Reds,Substituted On,Substituted Off,PPG,Minutes Played,Season,Placement,Champions League,Domestic Cup,TOTY,TOTY_Nominee,League_bundesliga,League_laliga,League_ligue-1,League_premier-league,League_serie-a,Position_Attacker,Position_Defender,Position_Goalkeeper,Position_Midfielder
26,52,49,0,0,3,0,0,0,0,2.35,4410.0,1,1,1,1,0,0,False,True,False,False,False,False,False,True,False
32,51,11,0,0,1,0,0,0,0,2.18,990.0,1,1,1,1,0,0,False,True,False,False,False,False,False,True,False
21,51,23,0,0,3,0,1,7,0,2.13,1523.0,1,1,1,1,0,0,False,True,False,False,False,False,True,False,False
21,50,45,3,1,7,2,0,1,1,2.27,3932.0,1,1,1,1,0,0,False,True,False,False,False,False,True,False,False
29,41,37,3,3,7,1,0,1,8,2.49,3020.0,1,1,1,1,0,0,False,True,False,False,False,False,True,False,False
30,49,45,1,3,8,0,0,4,6,2.29,3768.0,1,1,1,1,1,1,False,True,False,False,False,False,True,False,False
34,49,30,1,2,0,0,0,8,4,2.2,1962.0,1,1,1,1,0,0,False,True,False,False,False,False,True,False,False
25,54,54,5,14,13,0,0,2,4,2.35,4702.0,1,1,1,1,0,0,False,True,False,False,False,False,True,False,False
28,39,32,0,1,6,0,2,1,2,2.09,2652.0,1,1,1,1,0,0,False,True,False,False,False,False,True,False,False
19,53,41,3,1,12,0,0,10,8,2.41,2909.0,1,1,1,1,0,0,False,True,False,False,False,False,False,False,True
24,44,43,5,16,5,0,0,5,19,2.4,3282.0,1,1,1,1,0,1,False,True,False,False,False,False,False,False,True
28,55,54,10,31,5,0,0,5,14,2.3,4337.0,1,1,1,1,1,1,False,True,False,False,False,False,False,False,True
28,51,46,6,2,2,0,1,17,10,2.2,2673.0,1,1,1,1,0,0,False,True,False,False,False,False,False,False,True
27,49,36,0,3,0,0,0,17,9,2.08,1687.0,1,1,1,1,0,0,False,True,False,False,False,False,False,False,True
25,52,43,3,1,10,0,0,4,10,2.35,3363.0,1,1,1,1,0,0,False,True,False,False,False,False,False,False,True
20,22,12,0,0,1,0,0,6,3,2.17,589.0,1,1,1,1,0,0,False,True,False,False,False,False,False,False,True
21,53,51,38,19,4,0,0,10,7,2.39,3890.0,1,1,1,1,1,1,False,True,False,False,False,True,False,False,False
20,23,14,0,1,0,0,0,8,4,2.07,570.0,1,1,1,1,0,0,False,True,False,False,False,True,False,False,False
29,53,34,4,4,2,0,0,17,8,2.12,1539.0,1,1,1,1,0,0,False,True,False,False,False,True,False,False,False
27,56,52,36,8,10,0,0,6,21,2.23,4026.0,1,1,1,1,0,1,False,True,False,False,False,True,False,False,False
17,61,42,10,6,4,0,0,24,9,2.21,1787.0,1,1,1,1,0,0,False,True,False,False,False,True,False,False,False
30,48,42,26,11,6,0,0,6,19,2.43,3047.0,1,1,1,1,0,1,False,True,False,False,False,True,False,False,False
27,48,47,0,0,3,0,0,0,0,1.91,4230.0,1,2,0,0,1,1,False,True,False,False,False,False,False,True,False
22,43,42,6,3,13,0,1,1,2,1.86,3641.0,1,2,0,0,1,0,False,True,False,False,False,False,True,False,False
20,40,34,4,5,11,1,0,4,8,1.88,2603.0,1,2,0,0,0,0,False,True,False,False,False,False,True,False,False
25,32,32,0,0,8,0,1,0,2,2.41,2824.0,1,2,0,0,0,0,False,True,False,False,False,False,True,False,False
32,28,13,0,0,5,0,1,3,1,1.46,973.0,1,2,0,0,0,0,False,True,False,False,False,False,True,False,False
34,38,37,0,0,4,0,0,0,7,1.95,3075.0,1,2,0,0,0,0,False,True,False,False,False,False,True,False,False
30,38,34,2,3,8,1,0,0,4,1.85,2978.0,1,2,0,0,0,0,False,True,False,False,False,False,True,False,False
27,36,15,0,1,2,0,0,4,0,1.87,1090.0,1,2,0,0,0,0,False,True,False,False,False,False,True,False,False
22,31,17,0,1,1,0,0,5,3,2.12,1076.0,1,2,0,0,0,0,False,True,False,False,False,False,True,False,False
27,15,15,0,0,2,0,0,3,2,1.93,1099.0,1,2,0,0,0,0,False,True,False,False,False,False,False,False,True
23,21,21,0,1,8,0,0,0,2,2.05,1854.0,1,2,0,0,0,0,False,True,False,False,False,False,False,False,True
22,36,33,1,7,11,1,0,2,3,2.06,2742.0,1,2,0,0,0,0,False,True,False,False,False,False,False,False,True
24,29,28,2,3,8,0,0,5,15,2.11,1793.0,1,2,0,0,0,0,False,True,False,False,False,False,False,False,True
31,28,27,3,6,6,0,0,8,9,1.74,1732.0,1,2,0,0,0,0,False,True,False,False,False,False,False,False,True
21,37,28,0,2,4,0,0,19,3,1.75,1063.0,1,2,0,0,0,0,False,True,False,False,False,False,False,False,True
23,12,11,2,2,1,0,0,3,4,2.0,647.0,1,2,0,0,0,0,False,True,False,False,False,False,False,False,True
25,46,42,5,6,8,0,1,20,15,1.93,2026.0,1,2,0,0,0,0,False,True,False,False,False,False,False,False,True
21,32,21,0,0,7,0,0,17,2,1.86,727.0,1,2,0,0,0,0,False,True,False,False,False,False,False,False,True
31,49,47,24,8,4,0,0,2,17,1.91,3837.0,1,2,0,0,0,0,False,True,False,False,False,True,False,False,False
26,39,14,2,1,0,0,0,10,2,2.14,480.0,1,2,0,0,0,0,False,True,False,False,False,True,False,False,False
24,37,37,8,10,2,1,0,6,15,1.95,2698.0,1,2,0,0,0,0,False,True,False,False,False,True,False,False,False
32,13,12,10,2,2,1,1,0,2,1.83,979.0,1,2,0,0,0,0,False,True,False,False,False,True,False,False,False
24,22,20,8,0,2,1,0,7,7,2.3,1122.0,1,2,0,0,0,0,False,True,False,False,False,True,False,False,False
20,47,44,24,12,6,0,0,7,16,1.91,3217.0,1,2,0,0,0,0,False,True,False,False,False,True,False,False,False
34,50,47,0,0,8,0,1,0,0,1.87,4223.0,1,3,0,0,0,0,False,True,False,False,False,False,False,True,False
22,50,49,5,15,10,0,0,5,13,1.92,3829.0,1,3,0,0,0,0,False,True,False,False,False,False,True,False,False
21,30,22,0,1,3,0,0,9,3,1.91,1203.0,1,3,0,0,0,0,False,True,False,False,False,False,True,False,False
